,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgAdjcnt,acreage_adjacent_with_sameowner
9,acrgClc,acreage_calc
10,acrgDdd,acreage_deeded
11,cnssZp,census_zip
12,CountyID,cid
13,cnsrvtnEsm,conservation_easements_layer
14,cnsrvtnEs0,conservation_easements_layer-acre
15,cntyNm,county_name
16,crtclHbttJ,critical_habitat_joint
17,crtclHbtt0,critical_habitat_joint-acre
18,elvtn,elevation
19,fldHgh,flood-high
20,fldLw,flood-low
21,fld02,flood_02
22,fld02Acr,flood_02-acre
23,fld1,flood_1
24,fld1Acr,flood_1-acre
25,LandUseCde,land-use-code
26,LandUseNm,land-use-name
27,lstUpdtd,last_updated
28,lglDsc1,legal_desc1
29,mnmdArprt,manmade_airport
30,mnmdArprtA,manmade_airport-acre
31,mnmdBldng,manmade_building
32,mnmdBldngA,manmade_building-acre
33,mnmdOlAndN,manmade_oil_and_natural_gas
34,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
35,mnmdRl,manmade_rail
36,mnmdRd,manmade_road
37,mnmdRdAcr,manmade_road-acre
38,mnmdTrnsms,manmade_transmission
39,mnmdTrnsm0,manmade_transmission-acre
40,mnId,muni_id
41,mnNm,muni_name
42,ownrOccpd,owner_occupied
43,pdUs,pad_us
44,pdUsAcr,pad_us-acre
45,pn,pin
46,rsId,rausa_id
47,rbstId,robust_id
48,schlDstId,school_dist_id
49,slp,slope
50,slpAcr,slope-acre
51,uspsRsdntl,usps_residential
52,wtlnds,wetlands
53,wtlndsAcr,wetlands-acre
54,geometry,geometry
